Mod Name,Forum Page,Mod Author,Icon/Folder
Advanced Landing Capsule for Orbital Rendezvous,http://forum.kerbalspaceprogram.com/threads/54925,alexustas,ASET
Atomic Age,http://forum.kerbalspaceprogram.com/threads/104855,Porkjet,AtomicAge
Behemoth Aerospace Engineering Large Parts Pack,http://forum.kerbalspaceprogram.com/threads/124064,greystork,BAE
Corvus -1.25m Two Kerbal Pod,http://forum.kerbalspaceprogram.com/threads/121062,OrionKermin,Corvus
Corvus Extras,http://forum.kerbalspaceprogram.com/threads/121062,OrionKermin,Corvus Extras
Phoenix Industries Cargo Resupply System,http://forum.kerbalspaceprogram.com/threads/122510,MoviesColin,CTN
AstroGamer's EnginesPlus,http://forum.kerbalspaceprogram.com/threads/127424,AstroGamer,EnginesPlus
Electric Thrust Engine,http://forum.kerbalspaceprogram.com/threads/121645,JarDev,JarDev
K2 Command Pod,http://forum.kerbalspaceprogram.com/threads/104925,jfjohnny5,JFJohnny5
Kerbal Historical Institute,http://forum.kerbalspaceprogram.com/threads/99020, blspblackdeath / Fiddlestyx / TheMoonRover,KerbalHistoricalInstitute
MI - Fuel Tank Expansion,http://forum.kerbalspaceprogram.com/threads/109885,MunarIndustries,MunarIndustries
Taurus HCV - 3.75 m Stock-ish Crew Pod ,http://forum.kerbalspaceprogram.com/threads/75074,jnrobinson / bsquiklehausen,RSCapsuledyne
SETI-CommunityTechTree,http://forum.kerbalspaceprogram.com/threads/106130, Yemo,SETIctt
Sigma OPM Expansion,http://forum.kerbalspaceprogram.com/threads/112095,Sigma88,Sigma
SpaceY Heavy Lifters Parts Pack,http://forum.kerbalspaceprogram.com/threads/100408, NecroBones,SpaceY-Lifters
SXT - Stock eXTension,http://forum.kerbalspaceprogram.com/threads/24906, Lack,SXT
Mk. 1-1 A2 ,http://forum.kerbalspaceprogram.com/threads/98250,Yarbrough08,Yarbrough08
Vanguard Astrodynamics VX Series Stockalike Engine,http://forum.kerbalspaceprogram.com/threads/127803,Randazzo,VanguardAstrodynamics
Heat Management,http://forum.kerbalspaceprogram.com/threads/118189,Randazzo,HeatManagement
Stock Part Revamp,http://forum.kerbalspaceprogram.com/threads/92764,Ven,VenStockRevamp